"Sorter","TimeComplexity","CollectionSize","CollectionType","RAMUsed"
"QuickSort","16000","2","char","3899472"
"QuickSort","7000","4","char","3899472"
"QuickSort","5000","8","char","3899472"
"QuickSort","9000","16","char","3899472"
"QuickSort","19000","32","char","3899472"
"QuickSort","44000","64","char","3899472"
"QuickSort","83000","128","char","3899472"
"QuickSort","169000","256","char","3899472"
"QuickSort","170000","512","char","3899472"
"QuickSort","3118000","1024","char","3899472"
"QuickSort","277000","2048","char","3899472"
"QuickSort","538000","4096","char","3899472"
"QuickSort","3924000","8192","char","3899472"
"QuickSort","4188000","16384","char","3899472"
"QuickSort","2874000","32768","char","4030560"
"QuickSort","10241000","65536","char","4423808"
"QuickSort","16112000","131072","char","5734544"
"QuickSort","25255000","262144","char","8880272"
"HeapSort","34000","2","char","8880272"
"HeapSort","11000","4","char","8880272"
"HeapSort","10000","8","char","8880272"
"HeapSort","14000","16","char","8880272"
"HeapSort","36000","32","char","8880272"
"HeapSort","104000","64","char","8880272"
"HeapSort","151000","128","char","8880272"
"HeapSort","359000","256","char","8880272"
"HeapSort","635000","512","char","8880272"
"HeapSort","383000","1024","char","8880272"
"HeapSort","476000","2048","char","8880272"
"HeapSort","1296000","4096","char","8896672"
"HeapSort","1926000","8192","char","8945856"
"HeapSort","3074000","16384","char","9044192"
"HeapSort","5451000","32768","char","9257120"
"HeapSort","10037000","65536","char","9650368"
"HeapSort","23393000","131072","char","10961104"
"HeapSort","59093000","262144","char","14106832"
"BubbleSort","40000","2","char","14106832"
"BubbleSort","8000","4","char","14106832"
"BubbleSort","6000","8","char","14106832"
"BubbleSort","46000","16","char","14106832"
"BubbleSort","54000","32","char","14106832"
"BubbleSort","108000","64","char","14106832"
"BubbleSort","368000","128","char","14106832"
"BubbleSort","1277000","256","char","14106832"
"BubbleSort","3137000","512","char","14106832"
"BubbleSort","5033000","1024","char","14155840"
"BubbleSort","4701000","2048","char","14155840"
"BubbleSort","17457000","4096","char","14155840"
"BubbleSort","71108000","8192","char","14417920"
"BubbleSort","360488000","16384","char","14417920"
"BubbleSort","1550304000","32768","char","15971888"
"BubbleSort","6866182000","65536","char","16365136"
"BubbleSort","27211639000","131072","char","17675872"
"BubbleSort","109245375000","262144","char","20821600"
"SelectionSort","14000","2","char","20821600"
"SelectionSort","2000","4","char","20821600"
"SelectionSort","3000","8","char","20821600"
"SelectionSort","6000","16","char","20821600"
"SelectionSort","16000","32","char","20821600"
"SelectionSort","56000","64","char","20821600"
"SelectionSort","223000","128","char","20821600"
"SelectionSort","881000","256","char","20821600"
"SelectionSort","1715000","512","char","20821600"
"SelectionSort","3042000","1024","char","20821600"
"SelectionSort","9473000","2048","char","20821600"
"SelectionSort","30458000","4096","char","20838000"
"SelectionSort","119653000","8192","char","20887184"
"SelectionSort","481114000","16384","char","21037088"
"SelectionSort","2020447000","32768","char","21233728"
"SelectionSort","8035153000","65536","char","21626976"
"SelectionSort","29714654000","131072","char","22937712"
"SelectionSort","93932609000","262144","char","26083440"
"Sorter","TimeComplexity","CollectionSize","CollectionType","RAMUsed"
"QuickSort","19000","2","int","3898456"
"QuickSort","7000","4","int","3898456"
"QuickSort","5000","8","int","3898456"
"QuickSort","8000","16","int","3898456"
"QuickSort","15000","32","int","3898456"
"QuickSort","64000","64","int","3898456"
"QuickSort","80000","128","int","3898456"
"QuickSort","154000","256","int","3898456"
"QuickSort","227000","512","int","3898456"
"QuickSort","136000","1024","int","3898456"
"QuickSort","276000","2048","int","3898456"
"QuickSort","655000","4096","int","3898456"
"QuickSort","1134000","8192","int","3898456"
"QuickSort","1346000","16384","int","3898456"
"QuickSort","2822000","32768","int","4029544"
"QuickSort","6295000","65536","int","4422792"
"QuickSort","13483000","131072","int","5733528"
"QuickSort","28898000","262144","int","8879256"
"HeapSort","13000","2","int","8879256"
"HeapSort","5000","4","int","8879256"
"HeapSort","7000","8","int","8879256"
"HeapSort","10000","16","int","8879256"
"HeapSort","22000","32","int","8879256"
"HeapSort","74000","64","int","8879256"
"HeapSort","118000","128","int","8879256"
"HeapSort","95000","256","int","8879256"
"HeapSort","127000","512","int","8879256"
"HeapSort","255000","1024","int","8879256"
"HeapSort","418000","2048","int","8879256"
"HeapSort","969000","4096","int","8879256"
"HeapSort","2188000","8192","int","8945744"
"HeapSort","3606000","16384","int","9044080"
"HeapSort","5935000","32768","int","9240720"
"HeapSort","27398000","65536","int","9633968"
"HeapSort","80089000","131072","int","10944704"
"HeapSort","74220000","262144","int","14090432"
"BubbleSort","14000","2","int","14090432"
"BubbleSort","6000","4","int","14090432"
"BubbleSort","4000","8","int","14090432"
"BubbleSort","6000","16","int","14090432"
"BubbleSort","19000","32","int","14090432"
"BubbleSort","71000","64","int","14090432"
"BubbleSort","282000","128","int","14090432"
"BubbleSort","1214000","256","int","14090432"
"BubbleSort","2316000","512","int","14090432"
"BubbleSort","2363000","1024","int","14155840"
"BubbleSort","6534000","2048","int","14155840"
"BubbleSort","11704000","4096","int","14155840"
"BubbleSort","70637000","8192","int","14417920"
"BubbleSort","374890000","16384","int","14417920"
"BubbleSort","1578731000","32768","int","15971888"
"BubbleSort","6530174000","65536","int","16365136"
"BubbleSort","26243940000","131072","int","17675872"
"BubbleSort","111057647000","262144","int","20821600"
"SelectionSort","15000","2","int","20821600"
"SelectionSort","3000","4","int","20821600"
"SelectionSort","2000","8","int","20821600"
"SelectionSort","6000","16","int","20821600"
"SelectionSort","16000","32","int","20821600"
"SelectionSort","63000","64","int","20821600"
"SelectionSort","245000","128","int","20821600"
"SelectionSort","954000","256","int","20821600"
"SelectionSort","1768000","512","int","20821600"
"SelectionSort","1980000","1024","int","20821600"
"SelectionSort","3826000","2048","int","20821600"
"SelectionSort","9184000","4096","int","20821600"
"SelectionSort","37650000","8192","int","20870784"
"SelectionSort","249667000","16384","int","20971536"
"SelectionSort","1405792000","32768","int","21495824"
"SelectionSort","6387315000","65536","int","21757984"
"SelectionSort","27197807000","131072","int","23068720"
"SelectionSort","113959362000","262144","int","26214448"
