"Sorter","TimeComplexity","CollectionSize","CollectionType","RAMUsed"
"BubbleSort","17000","2","char","3898456"
"BubbleSort","7000","4","char","3898456"
"BubbleSort","4000","8","char","3898456"
"BubbleSort","7000","16","char","3898456"
"BubbleSort","27000","32","char","3898456"
"BubbleSort","92000","64","char","3898456"
"BubbleSort","354000","128","char","3898456"
"BubbleSort","1383000","256","char","3898456"
"BubbleSort","3184000","512","char","3898456"
"BubbleSort","3027000","1024","char","3898456"
"BubbleSort","9617000","2048","char","3898456"
"BubbleSort","18868000","4096","char","3898456"
"BubbleSort","92252000","8192","char","3898456"
"BubbleSort","395760000","16384","char","3898456"
"BubbleSort","1683408000","32768","char","4949056"
"BubbleSort","6657746000","65536","char","4949056"
"BubbleSort","27601144000","131072","char","5211216"
"BubbleSort","105013070000","262144","char","6259792"
"BubbleSort","425981720000","524288","char","8356944"
"HeapSort","15000","2","char","3898456"
"HeapSort","10000","4","char","3898456"
"HeapSort","16000","8","char","3898456"
"HeapSort","11000","16","char","3898456"
"HeapSort","23000","32","char","3898456"
"HeapSort","476000","64","char","3898456"
"HeapSort","33000","128","char","3898456"
"HeapSort","60000","256","char","3898456"
"HeapSort","379000","512","char","3898456"
"HeapSort","242000","1024","char","3898456"
"HeapSort","552000","2048","char","3898456"
"HeapSort","1928000","4096","char","3898456"
"HeapSort","2637000","8192","char","3898456"
"HeapSort","4514000","16384","char","3898456"
"HeapSort","6817000","32768","char","3898456"
"HeapSort","20873000","65536","char","3898456"
"HeapSort","26770000","131072","char","4160616"
"HeapSort","53731000","262144","char","5209192"
"HeapSort","132028000","524288","char","7306344"
"QuickSort","13000","2","char","3898456"
"QuickSort","8000","4","char","3898456"
"QuickSort","6000","8","char","3898456"
"QuickSort","7000","16","char","3898456"
"QuickSort","12000","32","char","3898456"
"QuickSort","63000","64","char","3898456"
"QuickSort","138000","128","char","3898456"
"QuickSort","150000","256","char","3898456"
"QuickSort","174000","512","char","3898456"
"QuickSort","121000","1024","char","3898456"
"QuickSort","278000","2048","char","3898456"
"QuickSort","731000","4096","char","3898456"
"QuickSort","1063000","8192","char","3898456"
"QuickSort","1776000","16384","char","3898456"
"QuickSort","2892000","32768","char","3898456"
"QuickSort","6807000","65536","char","3898456"
"QuickSort","15560000","131072","char","4160616"
"QuickSort","32922000","262144","char","5209192"
"QuickSort","54011000","524288","char","7306344"
"SelectionSort","16000","2","char","3898456"
"SelectionSort","6000","4","char","3898456"
"SelectionSort","4000","8","char","3898456"
"SelectionSort","8000","16","char","3898456"
"SelectionSort","20000","32","char","3898456"
"SelectionSort","75000","64","char","3898456"
"SelectionSort","281000","128","char","3898456"
"SelectionSort","1119000","256","char","3898456"
"SelectionSort","2694000","512","char","3898456"
"SelectionSort","4232000","1024","char","3898456"
"SelectionSort","13422000","2048","char","3898456"
"SelectionSort","38896000","4096","char","3898456"
"SelectionSort","156371000","8192","char","3898456"
"SelectionSort","531832000","16384","char","3898456"
"SelectionSort","2019123000","32768","char","4949056"
"SelectionSort","8117324000","65536","char","4949056"
"SelectionSort","29291609000","131072","char","5211216"
"SelectionSort","91320131000","262144","char","6259792"
"SelectionSort","275234101000","524288","char","8356944"
