"Sorter","TimeComplexity","CollectionSize","CollectionType","RAMUsed"
"QuickSort","21000","2","int","3894504"
"QuickSort","8000","4","int","3894504"
"QuickSort","5000","8","int","3894504"
"QuickSort","15000","16","int","3894504"
"QuickSort","25000","32","int","3894504"
"QuickSort","60000","64","int","3894504"
"QuickSort","114000","128","int","3894504"
"QuickSort","177000","256","int","3894504"
"QuickSort","196000","512","int","3894504"
"QuickSort","173000","1024","int","3894504"
"QuickSort","349000","2048","int","3894504"
"QuickSort","2079000","4096","int","3894504"
"QuickSort","1887000","8192","int","3894504"
"QuickSort","4620000","16384","int","3894504"
"QuickSort","4651000","32768","int","3894504"
"QuickSort","8258000","65536","int","4156664"
"QuickSort","19694000","131072","int","5205240"
"QuickSort","59830000","262144","int","7302392"
"QuickSort","73807000","524288","int","10448120"
"HeapSort","82000","2","int","10448120"
"HeapSort","20000","4","int","10448120"
"HeapSort","13000","8","int","10448120"
"HeapSort","22000","16","int","10448120"
"HeapSort","40000","32","int","10448120"
"HeapSort","98000","64","int","10448120"
"HeapSort","212000","128","int","10448120"
"HeapSort","186000","256","int","10448120"
"HeapSort","124000","512","int","10448120"
"HeapSort","300000","1024","int","10448120"
"HeapSort","588000","2048","int","10448120"
"HeapSort","1268000","4096","int","10448120"
"HeapSort","2809000","8192","int","10481680"
"HeapSort","5123000","16384","int","10985032"
"HeapSort","7900000","32768","int","10985032"
"HeapSort","17832000","65536","int","10985032"
"HeapSort","37022000","131072","int","12033608"
"HeapSort","92823000","262144","int","14130760"
"HeapSort","217393000","524288","int","17276488"
