"Sorter","TimeComplexity","CollectionSize","CollectionType","RAMUsed"
"QuickSort","12000","2","int","3894360"
"QuickSort","7000","4","int","3894360"
"QuickSort","5000","8","int","3894360"
"QuickSort","8000","16","int","3894360"
"QuickSort","15000","32","int","3894360"
"QuickSort","35000","64","int","3894360"
"QuickSort","63000","128","int","3894360"
"QuickSort","215000","256","int","3894360"
"QuickSort","166000","512","int","3894360"
"QuickSort","154000","1024","int","3894360"
"QuickSort","197000","2048","int","3894360"
"QuickSort","443000","4096","int","3894360"
"QuickSort","948000","8192","int","3894360"
"QuickSort","1604000","16384","int","3894360"
"QuickSort","2463000","32768","int","3894360"
"QuickSort","6066000","65536","int","4156520"
"QuickSort","13177000","131072","int","5205096"
"QuickSort","29260000","262144","int","7302248"
"QuickSort","64511000","524288","int","10447976"
"HeapSort","32000","2","int","10447976"
"HeapSort","5000","4","int","10447976"
"HeapSort","9000","8","int","10447976"
"HeapSort","20000","16","int","10447976"
"HeapSort","75000","32","int","10447976"
"HeapSort","106000","64","int","10447976"
"HeapSort","160000","128","int","10447976"
"HeapSort","354000","256","int","10447976"
"HeapSort","133000","512","int","10447976"
"HeapSort","206000","1024","int","10447976"
"HeapSort","429000","2048","int","10447976"
"HeapSort","978000","4096","int","10447976"
"HeapSort","2763000","8192","int","10481680"
"HeapSort","3173000","16384","int","11005968"
"HeapSort","6884000","32768","int","11005968"
"HeapSort","11250000","65536","int","11005968"
"HeapSort","21090000","131072","int","12054544"
"HeapSort","41374000","262144","int","14151696"
"HeapSort","77805000","524288","int","17297424"
